gene_id,gene_name,genome
ENSMUSG00000000001,Gnai3,GRCm38
ENSMUSG00000000003,Pbsn,GRCm38
ENSMUSG00000000028,Cdc45,GRCm38
ENSMUSG00000000031,H19,GRCm38
ENSMUSG00000000037,Scml2,GRCm38
ENSMUSG00000000049,Apoh,GRCm38
ENSMUSG00000000056,Narf,GRCm38
ENSMUSG00000000058,Cav2,GRCm38
ENSMUSG00000000078,Klf6,GRCm38
ENSMUSG00000000085,Scmh1,GRCm38
ENSMUSG00000000088,Cox5a,GRCm38
ENSMUSG00000000093,Tbx2,GRCm38
ENSMUSG00000000094,Tbx4,GRCm38
ENSMUSG00000000103,Zfy2,GRCm38
ENSMUSG00000000120,Ngfr,GRCm38
ENSMUSG00000000125,Wnt3,GRCm38
ENSMUSG00000000126,Wnt9a,GRCm38
ENSMUSG00000000127,Fer,GRCm38
ENSMUSG00000000131,Xpo6,GRCm38
ENSMUSG00000000134,Tfe3,GRCm38
ENSMUSG00000000142,Axin2,GRCm38
ENSMUSG00000000148,Brat1,GRCm38
ENSMUSG00000000149,Gna12,GRCm38
ENSMUSG00000000154,Slc22a18,GRCm38
ENSMUSG00000000157,Itgb2l,GRCm38
ENSMUSG00000000159,Igsf5,GRCm38
ENSMUSG00000000167,Pih1d2,GRCm38
ENSMUSG00000000168,Dlat,GRCm38
ENSMUSG00000000171,Sdhd,GRCm38
ENSMUSG00000000182,Fgf23,GRCm38
ENSMUSG00000000183,Fgf6,GRCm38
ENSMUSG00000000184,Ccnd2,GRCm38
ENSMUSG00000000194,Gpr107,GRCm38
ENSMUSG00000000197,Nalcn,GRCm38
ENSMUSG00000000202,Btbd17,GRCm38
ENSMUSG00000000204,Slfn4,GRCm38
ENSMUSG00000000214,Th,GRCm38
ENSMUSG00000000215,Ins2,GRCm38
ENSMUSG00000000216,Scnn1g,GRCm38
ENSMUSG00000000223,Drp2,GRCm38
ENSMUSG00000000244,Tspan32,GRCm38
ENSMUSG00000000247,Lhx2,GRCm38
ENSMUSG00000000248,Clec2g,GRCm38
ENSMUSG00000000253,Gmpr,GRCm38
ENSMUSG00000000263,Glra1,GRCm38
ENSMUSG00000000266,Mid2,GRCm38
ENSMUSG00000000275,Trim25,GRCm38
ENSMUSG00000000276,Dgke,GRCm38
ENSMUSG00000000278,Scpep1,GRCm38
ENSMUSG00000000282,Mnt,GRCm38
ENSMUSG00000000290,Itgb2,GRCm38
ENSMUSG00000000295,Hddc2,GRCm38
ENSMUSG00000000296,Tpd52l1,GRCm38
ENSMUSG00000000301,Pemt,GRCm38
ENSMUSG00000000303,Cdh1,GRCm38
ENSMUSG00000000305,Cdh4,GRCm38
ENSMUSG00000000308,Ckmt1,GRCm38
ENSMUSG00000000317,Bcl6b,GRCm38
ENSMUSG00000000318,Clec10a,GRCm38
ENSMUSG00000000320,Alox12,GRCm38
ENSMUSG00000000325,Arvcf,GRCm38
ENSMUSG00000000326,Comt,GRCm38
ENSMUSG00000000339,Rtca,GRCm38
ENSMUSG00000000340,Dbt,GRCm38
ENSMUSG00000000346,Dazap2,GRCm38
ENSMUSG00000000355,Mcts1,GRCm38
ENSMUSG00000000359,Rem1,GRCm38
ENSMUSG00000000365,Rnf17,GRCm38
ENSMUSG00000000374,Trappc10,GRCm38
ENSMUSG00000000378,Ccm2,GRCm38
ENSMUSG00000000381,Wap,GRCm38
ENSMUSG00000000384,Tbrg4,GRCm38
ENSMUSG00000000385,Tmprss2,GRCm38
ENSMUSG00000000386,Mx1,GRCm38
ENSMUSG00000000392,Fap,GRCm38
ENSMUSG00000000394,Gcg,GRCm38
ENSMUSG00000000399,Ndufa9,GRCm38
ENSMUSG00000000402,Egfl6,GRCm38
ENSMUSG00000000409,Lck,GRCm38
ENSMUSG00000000411,Tssk3,GRCm38
ENSMUSG00000000416,Cttnbp2,GRCm38
ENSMUSG00000000420,Galnt1,GRCm38
ENSMUSG00000000435,Myf5,GRCm38
ENSMUSG00000000439,Mkrn2,GRCm38
ENSMUSG00000000440,Pparg,GRCm38
ENSMUSG00000000441,Raf1,GRCm38
ENSMUSG00000000486,Sept1,GRCm38
ENSMUSG00000000489,Pdgfb,GRCm38
ENSMUSG00000000530,Acvrl1,GRCm38
ENSMUSG00000000531,Grasp,GRCm38
ENSMUSG00000000532,Acvr1b,GRCm38
ENSMUSG00000000538,Tom1l2,GRCm38
ENSMUSG00000000544,Gpa33,GRCm38
ENSMUSG00000000552,Zfp385a,GRCm38
ENSMUSG00000000555,Itga5,GRCm38
ENSMUSG00000000560,Gabra2,GRCm38
ENSMUSG00000000561,Wdr77,GRCm38
ENSMUSG00000000562,Adora3,GRCm38
ENSMUSG00000000563,Atp5f1,GRCm38
ENSMUSG00000000567,Sox9,GRCm38
ENSMUSG00000000568,Hnrnpd,GRCm38
ENSMUSG00000000579,Dynlt1c,GRCm38
ENSMUSG00000000581,C1d,GRCm38
ENSMUSG00000000594,Gm2a,GRCm38
ENSMUSG00000000600,Krit1,GRCm38
ENSMUSG00000000605,Clcn4,GRCm38
ENSMUSG00000000606,Vmn2r88,GRCm38
ENSMUSG00000000617,Grm6,GRCm38
ENSMUSG00000000627,Sema4f,GRCm38
ENSMUSG00000000628,Hk2,GRCm38
ENSMUSG00000000631,Myo18a,GRCm38
ENSMUSG00000000632,Sez6,GRCm38
